"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:46:27 GMT 2024","Thu Nov 28 20:46:28 GMT 2024","515","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 20:46:26 GMT 2024","Thu Nov 28 20:46:27 GMT 2024","1170","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 28 20:46:28 GMT 2024","Thu Nov 28 20:46:28 GMT 2024","496","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 20:46:23 GMT 2024","Thu Nov 28 20:46:25 GMT 2024","2139","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 20:45:11 GMT 2024","Thu Nov 28 20:46:06 GMT 2024","54415","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
