"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:21:25 GMT 2024","Thu Nov 28 20:21:25 GMT 2024","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 20:21:11 GMT 2024","Thu Nov 28 20:21:25 GMT 2024","14400","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 20:20:56 GMT 2024","Thu Nov 28 20:21:11 GMT 2024","15018","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationShouldBeAvailable","User should be able to create build type",""
"passed","Thu Nov 28 20:18:55 GMT 2024","Thu Nov 28 20:19:49 GMT 2024","54032","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:20:03 GMT 2024","Thu Nov 28 20:20:55 GMT 2024","52075","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available",""
