"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:27:12 GMT 2024","Thu Nov 28 20:27:13 GMT 2024","1741","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 20:26:04 GMT 2024","Thu Nov 28 20:26:54 GMT 2024","50318","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:27:16 GMT 2024","Thu Nov 28 20:27:17 GMT 2024","452","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 20:27:15 GMT 2024","Thu Nov 28 20:27:16 GMT 2024","534","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 20:27:14 GMT 2024","Thu Nov 28 20:27:15 GMT 2024","1244","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
