"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:26:01 GMT 2024","Thu Nov 28 20:26:58 GMT 2024","57703","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:28:29 GMT 2024","Thu Nov 28 20:28:29 GMT 2024","0","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 20:28:01 GMT 2024","Thu Nov 28 20:28:15 GMT 2024","13629","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationShouldBeAvailable","User should be able to create build type",""
"passed","Thu Nov 28 20:27:11 GMT 2024","Thu Nov 28 20:28:00 GMT 2024","49866","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available",""
"passed","Thu Nov 28 20:28:15 GMT 2024","Thu Nov 28 20:28:29 GMT 2024","13685","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
