"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:57:54 GMT 2024","Thu Nov 28 20:58:48 GMT 2024","54139","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available",""
"passed","Thu Nov 28 20:58:49 GMT 2024","Thu Nov 28 20:59:03 GMT 2024","13913","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationShouldBeAvailable","User should be able to create build type",""
"passed","Thu Nov 28 20:56:51 GMT 2024","Thu Nov 28 20:57:41 GMT 2024","49805","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:59:03 GMT 2024","Thu Nov 28 20:59:17 GMT 2024","13444","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 20:59:17 GMT 2024","Thu Nov 28 20:59:17 GMT 2024","5","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
