"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:36:09 GMT 2024","Thu Nov 28 20:36:11 GMT 2024","1905","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 20:34:55 GMT 2024","Thu Nov 28 20:35:52 GMT 2024","57143","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Nov 28 20:36:12 GMT 2024","Thu Nov 28 20:36:13 GMT 2024","491","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 20:36:11 GMT 2024","Thu Nov 28 20:36:12 GMT 2024","988","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 28 20:36:13 GMT 2024","Thu Nov 28 20:36:13 GMT 2024","372","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
