"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:58:00 GMT 2024","Thu Nov 28 20:58:02 GMT 2024","1073","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Nov 28 20:58:02 GMT 2024","Thu Nov 28 20:58:02 GMT 2024","462","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Nov 28 20:58:03 GMT 2024","Thu Nov 28 20:58:03 GMT 2024","522","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Nov 28 20:57:58 GMT 2024","Thu Nov 28 20:58:00 GMT 2024","1909","Surefire suite","Surefire test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Nov 28 20:56:48 GMT 2024","Thu Nov 28 20:57:41 GMT 2024","53317","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
