"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:47:10 GMT 2024","Thu Nov 28 20:47:25 GMT 2024","14659","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationShouldBeAvailable","User should be able to create build type",""
"passed","Thu Nov 28 20:46:18 GMT 2024","Thu Nov 28 20:47:10 GMT 2024","51762","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingBuildConfigurationSameNameShouldNotBeAvailable","Creating build configuration with same name should not be available",""
"passed","Thu Nov 28 20:47:41 GMT 2024","Thu Nov 28 20:47:41 GMT 2024","11","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to craete project without name",""
"passed","Thu Nov 28 20:47:25 GMT 2024","Thu Nov 28 20:47:41 GMT 2024","15306","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Nov 28 20:45:17 GMT 2024","Thu Nov 28 20:46:06 GMT 2024","49436","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
